File,Operator,1st Choice School,Grade,N,N Hartford,N Suburban,School,Column
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Montessori Magnet at Moylan,K,40,23,17,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Montessori Magnet at Moylan,1,19,6,13,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Montessori Magnet at Moylan,2,18,10,8,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Montessori Magnet at Moylan,3,12,6,6,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Montessori Magnet at Moylan,4,,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Montessori Magnet at Moylan,5,,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Montessori Magnet at Moylan,6,,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Montessori Magnet at Annie Fisher,PIO,83,26,57,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Montessori Magnet at Annie Fisher,PK4,56,18,38,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Montessori Magnet at Annie Fisher,K,53,26,27,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Montessori Magnet at Annie Fisher,1,30,9,21,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Montessori Magnet at Annie Fisher,2,18,11,7,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Montessori Magnet at Annie Fisher,3,24,13,11,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Montessori Magnet at Annie Fisher,4,24,10,14,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Montessori Magnet at Annie Fisher,5,12,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Montessori Magnet at Annie Fisher,6,27,10,17,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Montessori Magnet at Annie Fisher,7,10,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Montessori Magnet at Annie Fisher,8,7,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Noah Webster MicroSociety Magnet,PK3,121,58,63,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Noah Webster MicroSociety Magnet,PK4,61,27,34,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Noah Webster MicroSociety Magnet,K,54,27,27,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Noah Webster MicroSociety Magnet,1,26,19,7,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Noah Webster MicroSociety Magnet,2,24,13,11,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Noah Webster MicroSociety Magnet,3,20,11,9,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Noah Webster MicroSociety Magnet,4,30,21,9,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Noah Webster MicroSociety Magnet,5,29,13,16,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Noah Webster MicroSociety Magnet,6,9,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Noah Webster MicroSociety Magnet,7,14,6,8,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Noah Webster MicroSociety Magnet,8,,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Pathways Academy of Technology and Design,9,217,101,116,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Pathways Academy of Technology and Design,10,31,13,18,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Pathways Academy of Technology and Design,11,37,11,26,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Pathways Academy of Technology and Design,12,13,6,7,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,R.J. Kinsella Magnet School of the Performing Arts,PK4,94,27,67,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,R.J. Kinsella Magnet School of the Performing Arts,K,88,51,37,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,R.J. Kinsella Magnet School of the Performing Arts,I,49,28,21,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,R.J. Kinsella Magnet School of the Performing Arts,2,52,28,24,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,R.J. Kinsella Magnet School of the Performing Arts,3,66,41,25,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,R.J. Kinsella Magnet School of the Performing Arts,4,59,28,31,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,R.J. Kinsella Magnet School of the Performing Arts,5,78,34,44,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,R.J. Kinsella Magnet School of the Performing Arts,6,61,24,37,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,R.J. Kinsella Magnet School of the Performing Arts,7,38,22,16,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,R.J. Kinsella Magnet School of the Performing Arts,8,20,11,9,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,R.J. Kinsella Magnet School of the Performing Arts,9,43,29,14,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,R.J. Kinsella Magnet School of the Performing Arts,10,17,7,10,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,R.J. Kinsella Magnet School of the Performing Arts,11,6,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,R.J. Kinsella Magnet School of the Performing Arts,12,,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Sport and Medical Sciences Academy,6,141,78,63,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Sport and Medical Sciences Academy,7,57,18,39,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Sport and Medical Sciences Academy,8,79,28,51,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Sport and Medical Sciences Academy,9,194,123,71,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Sport and Medical Sciences Academy,10,43,23,20,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Sport and Medical Sciences Academy,11,33,19,14,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,Sport and Medical Sciences Academy,12,,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,STEM Magnet at Annie Fisher,K,101,38,63,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,STEM Magnet at Annie Fisher,I,53,10,43,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,STEM Magnet at Annie Fisher,2,43,8,35,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,STEM Magnet at Annie Fisher,3,39,10,29,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,STEM Magnet at Annie Fisher,4,34,13,21,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,STEM Magnet at Annie Fisher,5,34,12,22,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,STEM Magnet at Annie Fisher,6,21,7,14,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,STEM Magnet at Annie Fisher,7,10,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,STEM Magnet at Annie Fisher,8,7,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,University High School of Science and Engineering,9,200,97,103,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,University High School of Science and Engineering,10,39,15,24,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,University High School of Science and Engineering,11,31,10,21,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,HPS,University High School of Science and Engineering,12,,,,,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,BPS,,6,72,20,52,Global Experience Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,BPS,,7,9,,9,Global Experience Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,BPS,,8,11,,11,Global Experience Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,BPS,,9,25,11,14,Global Experience Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,BPS,,10,11,,11,Global Experience Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,BPS,,11,,,,Global Experience Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,BPS,,12,,,,Global Experience Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,BPS,,PK3,149,33,116,Wintonbury Early Childhood Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,BPS,,PK4,9,,,Wintonbury Early Childhood Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,BPS,,K,8,,,Wintonbury Early Childhood Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,6,125,61,64,Academy of Aerospace and Engineering,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,7,17,8,9,Academy of Aerospace and Engineering,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,8,,,,Academy of Aerospace and Engineering,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,9,18,10,8,Academy of Aerospace and Engineering,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,10,6,,,Academy of Aerospace and Engineering,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,12,,,,Academy of Aerospace and Engineering,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,PIO,38,17,21,Academy of Aerospace and Engineering,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,PK4,,,,Academy of Aerospace and Engineering,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,K,18,,,Academy of Aerospace and Engineering,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,1,8,,,Academy of Aerospace and Engineering,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,2,,,,Academy of Aerospace and Engineering,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,3,7,,,Academy of Aerospace and Engineering,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,4,9,,,Academy of Aerospace and Engineering,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,6,78,19,59,Academy of Science and Innovation,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,7,23,,,Academy of Science and Innovation,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,8,30,,,Academy of Science and Innovation,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,9,27,,,Academy of Science and Innovation,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,10,,,,Academy of Science and Innovation,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,11,,,,Academy of Science and Innovation,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,12,,,,Academy of Science and Innovation,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,PK3,49,25,24,Ana Grace Academy of the Arts Elementary,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,PK.4,,,,Ana Grace Academy of the Arts Elementary,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,K,65,26,39,Ana Grace Academy of the Arts Elementary,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,1,16,9,7,Ana Grace Academy of the Arts Elementary,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,2,22,14,8,Ana Grace Academy of the Arts Elementary,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,3,25,13,12,Ana Grace Academy of the Arts Elementary,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,4,8,,,Ana Grace Academy of the Arts Elementary,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,5,,,,Ana Grace Academy of the Arts Elementary,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,PK3,60,34,26,Discovery Academy,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,PK4,6,,,Discovery Academy,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,K,16,7,9,Discovery Academy,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,1,,,,Discovery Academy,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,2,,,,Discovery Academy,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,3,6,,,Discovery Academy,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,4,,,,Discovery Academy,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,5,,,,Discovery Academy,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,PIO,27,IO,17,Glastonbury-East Hartford Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,PK4,11,,,Glastonbury-East Hartford Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,K,53,20,33,Glastonbury-East Hartford Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,1,14,7,7,Glastonbury-East Hartford Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,2,13,,,Glastonbury-East Hartford Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,3,17,7,IO,Glastonbury-East Hartford Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,4,9,,,Glastonbury-East Hartford Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,5,,,,Glastonbury-East Hartford Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,6,151,75,76,GHAA I Middle,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,7,11,,,GHAA I Middle,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,8,16,9,7,GHAA I Middle,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,9,72,37,35,GHAA [Full-Day],
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,10,28,14,14,GHAA [Full-Day],
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,11,11,,,GHAA [Full-Day],
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,12,,,,GHAA [Full-Day],
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,9,180,31,149,GHAA [Half-Day],
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,IO,60,12,48,GHAA [Half-Day],
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,11,51,11,40,GHAA [Half-Day],
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,12,21,,,GHAA [Half-Day],
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,PK3,56,28,28,International Magnet School for Global Citizenship,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,PK4,,,,International Magnet School for Global Citizenship,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,K,41,20,21,International Magnet School for Global Citizenship,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,1,28,12,16,International Magnet School for Global Citizenship,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,2,16,,,International Magnet School for Global Citizenship,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,3,28,16,12,International Magnet School for Global Citizenship,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,4,22,15,7,International Magnet School for Global Citizenship,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,5,12,,,International Magnet School for Global Citizenship,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,6,118,34,84,MLC Magnet for Global and International Studies,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,7,16,,,MLC Magnet for Global and International Studies,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,8,11,,,MLC Magnet for Global and International Studies,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,9,15,,15,MLC Magnet for Global and International Studies,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,IO,15,,,MLC Magnet for Global and International Studies,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,11,,,,MLC Magnet for Global and International Studies,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,PIO,65,40,,Montessori Magnet (CREC),25
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,PK4,8,,,Montessori Magnet (CREC),
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,K,,,,Montessori Magnet (CREC),
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,1,9,,,Montessori Magnet (CREC),
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,2,,,,Montessori Magnet (CREC),
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,4,14,,,Montessori Magnet (CREC),14
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,PIO,81,42,,Museum Academy,39
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,PK4,21,9,,Museum Academy,12
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,K,39,19,,Museum Academy,20
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,1,17,8,,Museum Academy,9
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,2,14,6,,Museum Academy,8
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,3,6,,,Museum Academy,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,4,9,,,Museum Academy,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,5,10,,,Museum Academy,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,8,13,,,Public Safety Academy,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,9,64,25,,Public Safety Academy,39
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,10,16,,,Public Safety Academy,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,11,15,7,,Public Safety Academy,8
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,12,,,,Public Safety Academy,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,PK3,76,41,,Reggio Magnet School of the Arts,35
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,PK4,30,IO,,Reggio Magnet School of the Arts,20
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,K,75,32,,Reggio Magnet School of the Arts,43
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,1,36,15,,Reggio Magnet School of the Arts,21
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,2,23,,,Reggio Magnet School of the Arts,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,3,12,,,Reggio Magnet School of the Arts,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,4,25,18,,Reggio Magnet School of the Arts,7
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,5,20,,,Reggio Magnet School of the Arts,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,6,287,101,,Two Rivers Magnet Middle,186
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,7,69,40,,Two Rivers Magnet Middle,29
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,8,28,7,,Two Rivers Magnet Middle,21
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,PIO,44,9,,University of Hartford Magnet,35
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,PK4,7,,,University of Hartford Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,K,60,27,,University of Hartford Magnet,33
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,1,12,,,University of Hartford Magnet,12
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,2,19,,,University of Hartford Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,3,9,,,University of Hartford Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,4,9,,,University of Hartford Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,5,7,,,University of Hartford Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,EHPS,,9,79,22,,Connecticut 1B Academy,57
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,EHPS,,IO,,,,Connecticut 1B Academy,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,Goodwin,,9,201,107,,Connecticut River Academy,94
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,Goodwin,,IO,14,7,,Connecticut River Academy,7
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,Goodwin,,11,,,,Connecticut River Academy,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,Goodwin,,PIO,38,13,25,Riverside Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,Goodwin,,PK4,26,12,14,Riverside Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,Goodwin,,K,17,,,Riverside Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,Goodwin,,1,6,,,Riverside Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,Goodwin,,2,,,,Riverside Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,Goodwin,,3,12,,,Riverside Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,Goodwin,,4,13,,,Riverside Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,PIO,51,27,24,Betances Early Reading Lab Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,PK.4,15,9,6,Betances Early Reading Lab Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,K,70,23,47,Betances Early Reading Lab Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,1,53,15,38,Betances Early Reading Lab Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,2,54,27,27,Betances Early Reading Lab Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,3,29,9,20,Betances Early Reading Lab Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,4,93,31,62,Betances STEM Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,5,32,,,Betances STEM Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,6,53,,,Betances STEM Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,7,83,11,72,Betances STEM Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,8,52,,,Betances STEM Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,PIO,44,16,28,Breakthrough II Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,PK4,39,13,26,Breakthrough II Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,K,20,,,Breakthrough II Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,1,20,6,14,Breakthrough II Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,2,19,,,Breakthrough II Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,3,7,,7,Breakthrough II Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,4,7,,,Breakthrough II Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,5,21,9,12,Breakthrough II Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,6,13,7,6,Breakthrough II Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,8,,,,Breakthrough II Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,PIO,31,11,20,"Breakthrough Magnet, South Campus",
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,PK.4,,,,"Breakthrough Magnet, South Campus",
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,K,14,,,"Breakthrough Magnet, South Campus",
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,1,8,,,"Breakthrough Magnet, South Campus",
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,2,8,,,"Breakthrough Magnet, South Campus",
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,3,9,,,"Breakthrough Magnet, South Campus",
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,4,,,,"Breakthrough Magnet, South Campus",
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,5,14,,,"Breakthrough Magnet, South Campus",
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,6,21,,,"Breakthrough Magnet, South Campus",
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,7,7,,,"Breakthrough Magnet, South Campus",
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,8,,,,"Breakthrough Magnet, South Campus",
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,11,38,19,,Capital Community College Magnet Academy,19
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,12,19,9,,Capital Community College Magnet Academy,10
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,PIO,19,,,Capital Prep -  Lower School Program,19
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,PK4,7,,,Capital Prep -  Lower School Program,7
