File,Operator,1st Choice School,Grade,N,N Hartford,N Suburban,School,Column
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Glastonbury-East Hartford Magnet,K,220,30,190,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Glastonbury-East Hartford Magnet,1,118,18,100,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Glastonbury-East Hartford Magnet,2,78,10,68,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Glastonbury-East Hartford Magnet,3,111,14,97,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Glastonbury-East Hartford Magnet,4,76,10,66,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Glastonbury-East Hartford Magnet,5,119,20,99,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,GHAA Middle,6,181,49,132,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,GHAA Middle,7,69,10,59,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,GHAA Middle,8,72,14,58,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,GHAA [Full-Day],9,216,90,126,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,GHAA [Full-Day],10,68,23,45,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,GHAA [Full-Day],11,51,16,35,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,GHAA [Full-Day],12,17,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,GHAA [Half-Day],9,104,11,93,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,GHAA [Half-Day],10,25,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,GHAA [Half-Day],11,27,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,GHAA [Half-Day],12,12,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,International Magnet School for Global Citizenship,PIO,274,16,258,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,International Magnet School for Global Citizenship,PK4,239,9,230,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,International Magnet School for Global Citizenship,K,176,15,161,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,International Magnet School for Global Citizenship,1,93,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,International Magnet School for Global Citizenship,2,62,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,International Magnet School for Global Citizenship,3,47,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,International Magnet School for Global Citizenship,4,32,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,International Magnet School for Global Citizenship,5,49,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,MLC Magnet for Global and International Studies,6,122,44,78,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,MLC Magnet for Global and International Studies,7,30,11,19,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,MLC Magnet for Global and International Studies,8,20,7,13,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,MLC Magnet for Global and International Studies,9,29,11,18,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,MLC Magnet for Global and International Studies,10,16,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,MLC Magnet for Global and International Studies,11,6,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,MLC Magnet for Global and International Studies,12,,,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Montessori Magnet (CREC),PIO,135,52                     83,,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Montessori Magnet (CREC),PK4,76,45,31,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Montessori Magnet (CREC),K,91,55,36,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Montessori Magnet (CREC),1,51,31,20,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Montessori Magnet (CREC),2,55,39,16,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Montessori Magnet (CREC),3,41,22,19,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Montessori Magnet (CREC),4,34,19,15,,
CLEANED - First Chocie Apps By School By Grade 2017-18.xlsx#Table 1,CREC,Montessori Magnet (CREC),5,66,36,30,,
