file,grade,n_apps,n_apps_hartford,n_apps_suburban,n_offers,n_offers_hartford,n_offers_suburban,operator,school
offers,K,,,,60,27,,CREC,University of Hartford Magnet
offers,1,,,,12,,,CREC,University of Hartford Magnet
offers,2,,,,19,,,CREC,University of Hartford Magnet
offers,3,,,,9,,,CREC,University of Hartford Magnet
offers,4,,,,9,,,CREC,University of Hartford Magnet
offers,5,,,,7,,,CREC,University of Hartford Magnet
offers,9,,,,79,22,,EHPS,Connecticut IB Academy
offers,10,,,,,,,EHPS,Connecticut IB Academy
offers,9,,,,201,107,,Goodwin,Connecticut River Academy
offers,10,,,,14,7,,Goodwin,Connecticut River Academy
offers,11,,,,,,,Goodwin,Connecticut River Academy
offers,PK3,,,,38,13,25,Goodwin,Riverside Magnet
offers,PK4,,,,26,12,14,Goodwin,Riverside Magnet
offers,K,,,,17,,,Goodwin,Riverside Magnet
offers,1,,,,6,,,Goodwin,Riverside Magnet
offers,2,,,,,,,Goodwin,Riverside Magnet
offers,3,,,,12,,,Goodwin,Riverside Magnet
offers,4,,,,13,,,Goodwin,Riverside Magnet
offers,PK3,,,,51,27,24,HPS,Betances Early Reading Lab Magnet
offers,PK4,,,,15,9,6,HPS,Betances Early Reading Lab Magnet
offers,K,,,,70,23,47,HPS,Betances Early Reading Lab Magnet
offers,1,,,,53,15,38,HPS,Betances Early Reading Lab Magnet
offers,2,,,,54,27,27,HPS,Betances Early Reading Lab Magnet
offers,3,,,,29,9,20,HPS,Betances Early Reading Lab Magnet
offers,4,,,,93,31,62,HPS,Betances STEM Magnet
offers,5,,,,32,,,HPS,Betances STEM Magnet
offers,6,,,,53,,,HPS,Betances STEM Magnet
offers,7,,,,83,11,72,HPS,Betances STEM Magnet
offers,8,,,,52,,,HPS,Betances STEM Magnet
offers,PK3,,,,44,16,28,HPS,Breakthrough II Magnet
offers,PK4,,,,39,13,26,HPS,Breakthrough II Magnet
offers,K,,,,20,,,HPS,Breakthrough II Magnet
offers,1,,,,20,6,14,HPS,Breakthrough II Magnet
offers,2,,,,19,,,HPS,Breakthrough II Magnet
offers,3,,,,7,,7,HPS,Breakthrough II Magnet
offers,4,,,,7,,,HPS,Breakthrough II Magnet
offers,5,,,,21,9,12,HPS,Breakthrough II Magnet
offers,6,,,,13,7,6,HPS,Breakthrough II Magnet
offers,8,,,,,,,HPS,Breakthrough II Magnet
offers,PK3,,,,31,11,20,HPS,"Breakthrough Magnet, South Campus"
offers,PK4,,,,,,,HPS,"Breakthrough Magnet, South Campus"
offers,K,,,,14,,,HPS,"Breakthrough Magnet, South Campus"
offers,1,,,,8,,,HPS,"Breakthrough Magnet, South Campus"
offers,2,,,,8,,,HPS,"Breakthrough Magnet, South Campus"
offers,3,,,,9,,,HPS,"Breakthrough Magnet, South Campus"
offers,4,,,,,,,HPS,"Breakthrough Magnet, South Campus"
offers,5,,,,14,,,HPS,"Breakthrough Magnet, South Campus"
offers,6,,,,21,,,HPS,"Breakthrough Magnet, South Campus"
offers,7,,,,7,,,HPS,"Breakthrough Magnet, South Campus"
offers,8,,,,,,,HPS,"Breakthrough Magnet, South Campus"
offers,11,,,,38,19,,HPS,Capital Community College Magnet Academy
offers,12,,,,19,9,,HPS,Capital Community College Magnet Academy
offers,PK3,,,,19,,19,HPS,Capital Prep - Lower School Program
offers,PK4,,,,7,,,HPS,Capital Prep - Lower School Program
offers,K,,,,10,,,HPS,Capital Prep - Lower School Program
offers,1,,,,8,,,HPS,Capital Prep - Lower School Program
offers,2,,,,,,,HPS,Capital Prep - Lower School Program
offers,3,,,,7,,,HPS,Capital Prep - Lower School Program
offers,4,,,,6,,,HPS,Capital Prep - Lower School Program
offers,5,,,,13,7,,HPS,Capital Prep - Lower School Program
offers,6,,,,34,15,,HPS,Capital Prep - Upper School Program
offers,7,,,,8,,,HPS,Capital Prep - Upper School Program
offers,8,,,,6,,,HPS,Capital Prep - Upper School Program
offers,9,,,,23,13,,HPS,Capital Prep - Upper School Program
offers,10,,,,17,10,,HPS,Capital Prep - Upper School Program
offers,11,,,,9,,,HPS,Capital Prep - Upper School Program
offers,12,,,,26,,,HPS,Capital Prep - Upper School Program
offers,6,,,,81,24,,HPS,Classical Magnet
offers,7,,,,60,,,HPS,Classical Magnet
offers,8,,,,13,,,HPS,Classical Magnet
offers,9,,,,20,,,HPS,Classical Magnet
offers,10,,,,21,15,,HPS,Classical Magnet
offers,11,,,,19,,,HPS,Classical Magnet
offers,12,,,,27,,,HPS,Classical Magnet
offers,PK4,,,,64,33,,HPS,Environmental Sciences @ Mary M. Hooker
offers,K,,,,19,12,,HPS,Environmental Sciences @ Mary M. Hooker
offers,1,,,,20,8,,HPS,Environmental Sciences @ Mary M. Hooker
offers,2,,,,9,,,HPS,Environmental Sciences @ Mary M. Hooker
offers,3,,,,7,7,,HPS,Environmental Sciences @ Mary M. Hooker
offers,4,,,,14,,,HPS,Environmental Sciences @ Mary M. Hooker
offers,5,,,,13,,,HPS,Environmental Sciences @ Mary M. Hooker
offers,6,,,,16,,,HPS,Environmental Sciences @ Mary M. Hooker
offers,7,,,,18,,,HPS,Environmental Sciences @ Mary M. Hooker
offers,9,,,,146,79,,HPS,Great Path Academy
offers,10,,,,33,15,,HPS,Great Path Academy
offers,11,,,,11,,,HPS,Great Path Academy
offers,6,,,,171,83,,HPS,HMTCA - (Grades 6-12)
offers,7,,,,42,26,,HPS,HMTCA - (Grades 6-12)
offers,8,,,,21,,,HPS,HMTCA - (Grades 6-12)
offers,9,,,,17,6,,HPS,HMTCA - (Grades 6-12)
offers,10,,,,,,,HPS,HMTCA - (Grades 6-12)
offers,11,,,,,,,HPS,HMTCA - (Grades 6-12)
offers,6,,,,71,24,,HPS,HMTCA - (Grades 6-8)
offers,7,,,,35,22,,HPS,HMTCA - (Grades 6-8)
offers,8,,,,7,,,HPS,HMTCA - (Grades 6-8)
offers,PK3,,,,102,47,55,HPS,Hartford PreKindergarten Magnet
offers,PK4,,,,73,29,44,HPS,Hartford PreKindergarten Magnet
offers,PK3,,,,78,32,46,HPS,Montessori Magnet at Moylan
offers,PK4,,,,,,,HPS,Montessori Magnet at Moylan
offers,1,,,,13,,,HPS,Montessori Magnet at Moylan
offers,2,,,,,,,HPS,Montessori Magnet at Moylan
offers,4,,,,,,,HPS,Montessori Magnet at Moylan
offers,PK3,,,,74,44,30,HPS,Montessori Magnet at Annie Fisher
offers,PK4,,,,22,14,8,HPS,Montessori Magnet at Annie Fisher
offers,1,,,,,,,HPS,Montessori Magnet at Annie Fisher
offers,2,,,,,,,HPS,Montessori Magnet at Annie Fisher
offers,3,,,,,,,HPS,Montessori Magnet at Annie Fisher
offers,4,,,,,,,HPS,Montessori Magnet at Annie Fisher
offers,7,,,,8,,,HPS,Montessori Magnet at Annie Fisher
offers,PK3,,,,56,17,39,HPS,Noah Webster MicroSociety Magnet
offers,PK4,,,,22,9,13,HPS,Noah Webster MicroSociety Magnet
offers,K,,,,48,14,34,HPS,Noah Webster MicroSociety Magnet
offers,1,,,,14,,14,HPS,Noah Webster MicroSociety Magnet
offers,2,,,,17,,,HPS,Noah Webster MicroSociety Magnet
offers,3,,,,,,,HPS,Noah Webster MicroSociety Magnet
offers,4,,,,,,,HPS,Noah Webster MicroSociety Magnet
offers,5,,,,,,,HPS,Noah Webster MicroSociety Magnet
offers,6,,,,15,,15,HPS,Noah Webster MicroSociety Magnet
offers,7,,,,,,,HPS,Noah Webster MicroSociety Magnet
offers,8,,,,,,,HPS,Noah Webster MicroSociety Magnet
offers,9,,,,160,68,92,HPS,Pathways Academy of Technology and Design
offers,10,,,,18,6,12,HPS,Pathways Academy of Technology and Design
offers,11,,,,,,,HPS,Pathways Academy of Technology and Design
offers,PK4,,,,66,25,41,HPS,R.J. Kinsella Magnet School of the Performing Arts
offers,K,,,,28,,,HPS,R.J. Kinsella Magnet School of the Performing Arts
offers,1,,,,10,,10,HPS,R.J. Kinsella Magnet School of the Performing Arts
offers,2,,,,6,,6,HPS,R.J. Kinsella Magnet School of the Performing Arts
offers,3,,,,9,,,HPS,R.J. Kinsella Magnet School of the Performing Arts
offers,4,,,,12,,,HPS,R.J. Kinsella Magnet School of the Performing Arts
offers,5,,,,21,,,HPS,R.J. Kinsella Magnet School of the Performing Arts
offers,6,,,,30,,,HPS,R.J. Kinsella Magnet School of the Performing Arts
offers,7,,,,18,,18,HPS,R.J. Kinsella Magnet School of the Performing Arts
offers,8,,,,22,,,HPS,R.J. Kinsella Magnet School of the Performing Arts
offers,9,,,,35,10,25,HPS,R.J. Kinsella Magnet School of the Performing Arts
offers,10,,,,6,,6,HPS,R.J. Kinsella Magnet School of the Performing Arts
offers,11,,,,,,,HPS,R.J. Kinsella Magnet School of the Performing Arts
offers,6,,,,123,53,70,HPS,Sport and Medical Sciences Academy
offers,7,,,,12,,12,RPS,Sport and Medical Sciences Academy
offers,8,,,,15,,,HPS,Sport and Medical Sciences Academy
offers,9,,,,87,15,72,HPS,Sport and Medical Sciences Academy
offers,10,,,,52,11,41,HPS,Sport and Medical Sciences Academy
offers,11,,,,39,11,28,HPS,Sport and Medical Sciences Academy
offers,K,,,,49,27,22,HPS,STEM Magnet at Annie Fisher
offers,1,,,,IO,,,HPS,STEM Magnet at Annie Fisher
offers,2,,,,,,,HPS,STEM Magnet at Annie Fisher
offers,3,,,,7,,,HPS,STEM Magnet at Annie Fisher
offers,4,,,,,,,RPS,STEM Magnet at Annie Fisher
offers,6,,,,,,,HPS,STEM Magnet at Annie Fisher
offers,7,,,,,,,RPS,STEM Magnet at Annie Fisher
offers,8,,,,8,,,HPS,STEM Magnet at Annie Fisher
offers,9,,,,183,97,86,HPS,University High School of Science and Engineering
offers,10,,,,17,7,IO,HPS,University High School of Science and Engineering
