file,grade,n_apps,n_apps_hartford,n_apps_suburban,n_offers,n_offers_hartford,n_offers_suburban,operator,school
apps,5,66.0,36,30.0,,,,CREC,Montessori Magnet (CREC)
apps,PK3,100.0,19,81.0,,,,CREC,Museum Academy
apps,PK4,68.0,8,60.0,,,,CREC,Museum Academy
apps,K,64.0,6,58.0,,,,CREC,Museum Academy
apps,1,31.0,,,,,,CREC,Museum Academy
apps,2,32.0,6,26.0,,,,CREC,Museum Academy
apps,3,30.0,,,,,,CREC,Museum Academy
apps,4,16.0,,,,,,CREC,Museum Academy
apps,5,21.0,,,,,,CREC,Museum Academy
apps,8,19.0,7,12.0,,,,CREC,Public Safety Academy
apps,9,66.0,35,31.0,,,,CREC,Public Safety Academy
apps,10,21.0,10,11.0,,,,CREC,Public Safety Academy
apps,11,17.0,6,11.0,,,,CREC,Public Safety Academy
apps,12,,,,,,,CREC,Public Safety Academy
apps,PK3,166.0,9,157.0,,,,CREC,Reggio Magnet School of the Arts
apps,PK4,143.0,7,136.0,,,,CREC,Reggio Magnet School of the Arts
apps,K,87.0,10,77.0,,,,CREC,Reggio Magnet School of the Arts
apps,1,35.0,,,,,,CREC,Reggio Magnet School of the Arts
apps,2,45.0,7,38.0,,,,CREC,Reggio Magnet School of the Arts
apps,3,28.0,,,,,,CREC,Reggio Magnet School of the Arts
apps,4,23.0,8,15.0,,,,CREC,Reggio Magnet School of the Arts
apps,5,33.0,10,23.0,,,,CREC,Reggio Magnet School of the Arts
apps,6,266.0,46,220.0,,,,CREC,Two Rivers Magnet Middle
apps,7,72.0,16,56.0,,,,CREC,Two Rivers Magnet Middle
apps,8,50.0,10,40.0,,,,CREC,Two Rivers Magnet Middle
apps,PK3,211.0,70,141.0,,,,CREC,University of Hartford Magnet
apps,PK4,166.0,59,107.0,,,,CREC,University of Hartford Magnet
apps,K,149.0,70,79.0,,,,CREC,University of Hartford Magnet
apps,1,77.0,27,50.0,,,,CREC,University of Hartford Magnet
apps,2,83.0,29,54.0,,,,CREC,University of Hartford Magnet
apps,3,76.0,32,44.0,,,,CREC,University of Hartford Magnet
