operator,school,grade,n_apps,n_apps_hartford,n_apps_suburban,n_offers,n_offers_hartford,n_offers_suburban
CREC,Montessori Magnet (CREC),PK4,76.0,45.0,31.0,8,,
CREC,Museum Academy,1,31.0,,,17,8,
CREC,Museum Academy,2,32.0,6.0,26.0,14,6,
CREC,Museum Academy,3,30.0,,,6,,
CREC,Museum Academy,4,16.0,,,9,,
CREC,Museum Academy,5,21.0,,,10,,
CREC,Museum Academy,K,64.0,6.0,58.0,39,19,
CREC,Museum Academy,PK3,100.0,19.0,81.0,81,42,39
CREC,Museum Academy,PK4,68.0,8.0,60.0,21,9,
CREC,Public Safety Academy,10,21.0,10.0,11.0,16,,
CREC,Public Safety Academy,11,17.0,6.0,11.0,15,7,
CREC,Public Safety Academy,12,,,,,,
CREC,Public Safety Academy,8,19.0,7.0,12.0,13,,
CREC,Public Safety Academy,9,66.0,35.0,31.0,64,25,
CREC,Reggio Magnet School of the Arts,1,35.0,,,36,15,
CREC,Reggio Magnet School of the Arts,2,45.0,7.0,38.0,23,,
CREC,Reggio Magnet School of the Arts,3,28.0,,,12,,
CREC,Reggio Magnet School of the Arts,4,23.0,8.0,15.0,25,18,
CREC,Reggio Magnet School of the Arts,5,33.0,10.0,23.0,20,,
CREC,Reggio Magnet School of the Arts,K,87.0,10.0,77.0,75,32,
CREC,Reggio Magnet School of the Arts,PK3,166.0,9.0,157.0,76,41,
CREC,Reggio Magnet School of the Arts,PK4,143.0,7.0,136.0,30,IO,
CREC,Two Rivers Magnet Middle,6,266.0,46.0,220.0,287,101,
CREC,Two Rivers Magnet Middle,7,72.0,16.0,56.0,69,40,
CREC,Two Rivers Magnet Middle,8,50.0,10.0,40.0,28,7,
CREC,University of Hartford Magnet,1,77.0,27.0,50.0,12,,
CREC,University of Hartford Magnet,2,83.0,29.0,54.0,19,,
CREC,University of Hartford Magnet,3,76.0,32.0,44.0,9,,
CREC,University of Hartford Magnet,4,57.0,27.0,30.0,9,,
CREC,University of Hartford Magnet,5,69.0,25.0,44.0,7,,
CREC,University of Hartford Magnet,K,149.0,70.0,79.0,60,27,
CREC,University of Hartford Magnet,PK3,211.0,70.0,141.0,44,9,35
CREC,University of Hartford Magnet,PK4,166.0,59.0,107.0,7,,
EHPS,Connecticut IB Academy,10,40.0,6.0,34.0,,,
EHPS,Connecticut IB Academy,9,199.0,40.0,159.0,79,22,
Goodwin,Connecticut River Academy,10,43.0,14.0,29.0,14,7,
Goodwin,Connecticut River Academy,11,20.0,7.0,13.0,,,
Goodwin,Connecticut River Academy,12,9.0,,,,,
Goodwin,Connecticut River Academy,9,230.0,119.0,111.0,201,107,
Goodwin,Riverside Magnet,1,41.0,,,6,,
Goodwin,Riverside Magnet,2,44.0,9.0,35.0,,,
Goodwin,Riverside Magnet,3,40.0,11.0,29.0,12,,
Goodwin,Riverside Magnet,4,41.0,6.0,35.0,13,,
